transaction_amount,transaction_time,account_age_days,num_prev_transactions,is_international,fraud
93.85361799537182,0,1047,92,1,0
602.0242861835042,0,2692,219,0,0
263.34913870908986,18,604,19,0,0
182.58851075519064,4,1192,204,0,0
33.924974092469256,12,1527,90,0,0
33.919258382921036,18,1362,172,1,0
11.967753721736136,11,623,188,0,0
402.2461728959879,15,1882,1,0,0
183.8164307254529,18,3164,167,0,0
246.25001234091806,2,3637,23,0,0
4.159861599827725,11,1613,67,0,0
700.7114950316624,4,1593,193,0,0
357.285908670935,1,1602,83,0,0
47.7375250497894,21,3668,206,0,0
40.13579774993267,6,3103,48,0,0
40.52228456645141,12,1165,31,0,0
72.55074589209542,14,474,169,0,0
148.7855661721709,21,1489,128,0,0
113.10741335606733,2,3383,101,0,0
68.8445985107883,20,3012,34,0,0
189.27417477995974,19,2987,198,0,0
30.046905745467733,4,1300,76,0,0
69.10310240048045,23,2856,13,0,0
91.2554436441694,7,2452,130,0,0
121.78693757195501,21,3201,237,0,0
307.5872022061824,0,2303,279,0,0
44.547172425738054,7,577,64,0,0
144.40583100662553,23,47,137,0,0
179.5009442619521,17,254,268,0,0
9.51276995128171,19,30,227,0,0
187.066604129922,15,1143,200,0,0
37.39225039548329,17,1639,141,0,0
13.452786175860847,19,403,99,0,0
594.7375587013862,11,1443,137,0,0
674.1260684922345,12,996,167,0,0
330.46631456257535,12,1681,98,0,0
72.65757199375166,9,3824,65,0,0
20.55546300050125,6,2065,46,0,0
230.55015261973236,13,3525,230,1,0
116.01816851707967,23,2385,145,0,0
26.030446790889727,15,1920,206,0,0
136.70944562683002,14,299,145,0,0
6.998744288695817,11,1796,151,0,0
480.08457747860473,8,2568,278,0,0
59.89155536813722,7,921,139,1,0
217.25115971299607,17,370,150,0,0
74.70931633152473,22,3990,20,1,0
146.8221791818457,17,1632,253,0,0
158.2447595963595,12,2773,63,0,0
40.87771990158115,17,228,217,0,0
698.5614265472453,14,2463,71,1,0
298.44907542762815,3,2025,161,0,0
561.0188838583165,16,2050,129,0,0
450.4303995068393,4,2054,68,0,0
182.210882476655,21,2810,224,0,0
509.887075853881,15,2980,245,0,0
18.531091790623126,8,841,67,0,0
43.62693892625349,9,1803,106,1,0
9.256393137366391,23,3702,108,0,0
78.70641736061737,17,1801,102,0,0
98.42605835884372,16,2851,140,0,0
63.31208864176514,17,1253,64,0,0
352.91157304818677,6,604,133,1,0
88.24539990597403,3,2164,198,0,0
65.96056802684984,4,590,154,0,0
156.4814166415492,22,2666,78,0,0
30.37962956412577,15,1757,249,0,0
324.09671915494624,2,3367,86,1,0
15.495173762261802,17,3830,240,0,0
866.8292679174639,22,2065,87,0,0
295.89675524830227,20,2863,171,0,0
44.30788810117719,13,2246,16,0,0
1.107484075187095,14,90,222,0,0
337.9793554972252,16,2165,293,0,0
245.41918147740893,0,1354,218,1,0
261.1325817575998,20,1612,233,1,0
295.0429052087027,16,2743,247,0,0
15.38585310275927,22,355,51,0,0
88.7785344832465,10,1896,14,0,0
24.63002092088993,16,2385,111,0,0
397.7059143316445,13,564,183,0,0
195.26023834247482,19,3780,6,0,0
80.3637602502602,18,311,50,0,0
13.133613160956578,20,209,240,0,0
74.49767008207074,6,2950,244,0,0
78.66284263682627,23,3500,185,0,0
261.5751567915482,12,1072,286,1,0
202.977871785204,17,3813,91,0,0
436.45038248030295,22,316,105,0,0
127.81322667526196,13,3085,12,0,0
25.47447872310038,0,1666,145,0,0
249.82526886331988,6,1881,118,0,0
286.0785506153728,7,3158,202,0,0
164.77749897716575,17,2525,140,0,0
294.7779933442729,8,2236,114,0,0
136.1629463020556,0,2702,151,0,0
147.9357677554534,21,1856,56,0,0
111.56283878168547,16,1774,156,0,0
5.149554798022746,18,285,132,0,0
22.833487038373168,5,1185,162,0,0
6.386736258610765,2,3245,274,0,0
202.3459101855099,23,3371,182,1,0
75.47934175901997,4,1411,76,0,0
142.08743542683803,1,2678,43,0,0
476.2531059691951,19,647,205,0,0
57.347764596659665,3,1785,37,0,0
105.65639497653451,9,3391,21,0,0
281.7498295077167,9,939,72,0,0
51.961031383478804,23,3994,240,0,0
16.020855710035274,20,3470,153,0,0
68.42806077741142,10,1890,236,0,0
35.16167170001257,15,3739,4,0,0
530.990017176125,16,3845,220,0,0
330.1774160969139,15,192,85,1,0
200.69883810410622,6,1854,176,0,0
410.3039461041626,15,3387,258,0,0
325.5937881481113,2,81,219,0,0
41.299095271727815,15,3300,37,0,0
446.1626810471122,7,2776,141,0,0
155.0199803932344,11,3254,234,0,0
329.46965826071323,2,1686,202,0,0
452.84852985724626,16,1305,293,0,0
76.5461432836637,20,2783,171,0,0
23.318432024770168,17,3549,124,0,0
51.73734922787627,10,2326,64,0,0
111.41153854972288,3,1053,280,0,0
340.765945327789,15,2635,271,0,0
394.26899437596666,16,3052,243,0,0
1.3952818363301294,8,824,14,0,0
142.97523186771116,5,1536,225,0,0
108.05466418373426,23,2204,130,0,0
50.2334676551649,19,3510,194,0,0
25.536078309129362,1,3246,292,1,0
82.38171597248649,8,2947,208,0,0
572.6242245382299,20,319,112,0,0
78.07676057629487,5,2575,243,0,0
146.2905611520304,2,2071,165,0,0
242.81739537617096,19,141,190,0,0
90.39489979339247,5,1887,256,0,0
713.5596276583399,6,2812,217,0,0
656.4019729082796,0,2496,274,0,0
58.012258998441055,22,2800,51,1,0
137.53185569276945,0,749,157,0,0
71.58609201580936,4,3755,54,1,0
67.04993527621635,5,804,13,0,0
7.516895553104506,12,2320,268,0,0
188.09841419651863,1,2700,89,0,0
139.7039265659277,14,3306,26,0,0
10.570217476078495,14,267,88,0,0
65.32518420207387,12,1267,40,0,0
477.77219021786806,13,3417,267,1,0
54.77211042841541,21,2466,137,0,0
31.30617219709395,6,1861,5,0,0
134.45442189472726,13,984,241,0,0
848.8073965230519,23,1057,161,0,0
55.42896271194524,9,280,179,0,0
223.03100205945867,16,1128,296,0,0
286.7775252478926,13,151,5,0,0
54.266634467161154,7,3775,270,0,0
260.5497856984632,3,3799,271,0,0
91.7045598528608,15,911,155,0,0
200.10074954635425,23,3031,84,0,0
200.76756542752764,12,3162,199,0,0
153.47704999046977,21,283,9,1,0
18.92583176232419,19,2333,137,0,0
360.7289588492594,17,3964,241,0,0
77.36205873347932,13,474,200,0,0
41.286421321511305,17,1241,155,0,0
8.325951958869041,4,1329,274,0,0
178.75568091891668,8,3120,224,1,0
226.37034685346978,2,297,67,0,0
3.345389511694124,7,3205,183,0,0
143.52611690989767,19,885,194,0,0
51.36482941099153,21,2002,41,0,0
207.22486830953838,9,3364,150,0,0
38.32084450782675,21,2935,83,0,0
234.8425055135438,18,2237,133,0,0
97.79174019622036,20,1130,297,0,0
552.0687635608614,2,1224,29,0,0
29.58888268785579,10,3155,8,0,0
83.42648679903435,10,456,169,0,0
24.088857007399284,16,2842,289,0,0
517.2380794301447,15,3578,167,1,0
419.6667414321988,6,2618,144,0,0
59.66547401229778,3,2541,227,0,0
215.7525478087829,22,2906,75,0,0
339.89681452784424,18,731,222,0,0
162.02647213730162,11,2173,176,0,0
150.85588203878922,14,2592,188,0,0
55.37540908758063,10,3179,45,0,0
19.545228094988147,4,1361,16,0,0
455.02464503890457,4,3990,65,0,0
461.35488552968536,14,416,260,0,0
200.53398389657696,17,3394,122,0,0
82.80930196226478,10,1735,230,0,0
85.91352316232879,11,703,124,0,0
258.8930859454236,1,3229,111,0,0
454.81946982145047,19,3423,271,1,0
436.2265138793226,14,504,80,0,0
302.7124383861806,19,957,245,0,0
205.462138713541,3,32,214,0,0
17.578345239216812,21,1138,234,0,0
35.2588429366823,17,1708,81,0,0
457.64610003550115,5,3660,293,0,0
186.4987893931179,22,3883,75,0,0
1.8479211221988818,18,3882,14,0,0
21.399380287189864,10,567,219,0,0
217.8324774580482,23,1626,229,0,0
1.0148874103594006,1,950,264,0,0
35.06316322083981,7,3740,263,0,0
159.13956922778632,10,1255,109,1,0
235.46305733096253,4,2912,199,0,0
211.08829642704973,17,3096,225,0,0
50.7899734616049,22,2948,184,0,0
249.08345777970777,17,1666,30,0,0
54.164751810561185,13,87,101,0,0
78.72698178361689,21,1355,258,1,0
274.4715103331581,9,816,98,0,0
209.75476286055363,2,3322,298,0,0
378.3912154926802,8,1051,284,0,0
214.3626576339525,2,777,265,0,0
168.0088611174515,10,463,139,0,0
19.671412289682095,11,3524,285,0,0
91.68326144140401,11,2985,215,0,0
61.63202957176623,2,2334,31,0,0
55.940040732484256,20,1457,87,0,0
722.4618812325851,6,1509,62,0,0
99.87749940800475,13,1060,278,0,0
445.2110422497046,23,2571,73,0,0
